TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,EDU_FNSH_SE,MARR_STTS,FAMILY_MEMB,JOB_NM,JOB_ETC,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
g012371,11,여,20,6,1,1,1,3,,6,,3,3,42,42210,45,45110,26,26350,4,2,3,6,6,3,3,2,서울특별시,대전,나홀로 여행,2023-09-09~2023-09-09,1,2,4,0
g002841,41,여,30,6,1,1,5,5,,4,9,3,1,42,42150,41,41280,11,11440,1,1,1,3,1,1,4,6,경기도,충북,2인 여행(가족 외),2023-06-17~2023-06-18,2,1,3,1
g011422,41,남,20,6,1,1,3,13,,2,5,3,3,42,42150,26,26440,30,30110,2,4,1,3,4,5,2,6,경기도,충남,2인 여행(가족 외),2023-09-02~2023-09-02,2,3,1,1
g007538,45,여,20,4,1,1,1,12,,1,,3,6,26,26350,46,46710,29,29200,5,1,2,3,6,2,3,5,전라북도,전남,2인 여행(가족 외),2023-09-06~2023-09-07,9,,,1
g004383,48,여,20,6,1,1,3,4,,4,7,3,10,50,50130,47,47130,30,30140,2,1,4,3,4,2,6,5,경상남도,전북,나홀로 여행,2023-07-27~2023-07-28,2,1,4,0
g012687,29,여,20,5,1,2,3,11,,1,7,3,5,50,50110,50,50130,45,45190,3,5,5,3,3,4,4,4,광주광역시,전남,자녀 동반 여행,2023-09-23~2023-09-23,1,8,3,2
g000732,47,여,40,6,1,2,3,2,,5,10,3,3,50,50130,42,42110,47,47110,5,5,1,4,6,5,7,2,경상북도,충남,자녀 동반 여행,2023-06-03~2023-06-05,7,9,8,2
g001291,29,여,30,6,1,2,2,4,,4,6,2,1,46,46170,50,50110,50,50130,4,4,4,4,4,4,4,7,서울특별시,전남,2인 가족 여행,2023-05-28~2023-05-28,2,3,1,1
g002987,46,여,20,6,1,1,2,4,,3,3,2,1,26,26350,46,46130,11,11170,4,2,3,1,3,5,2,3,전라남도,전남,나홀로 여행,2023-07-01~2023-07-01,1,6,4,0
g012580,11,여,30,7,1,1,2,2,,4,10,3,3,26,26170,42,42830,11,11110,6,2,4,2,6,3,6,2,서울특별시,충북,2인 여행(가족 외),2023-09-17~2023-09-17,3,4,1,1
